Substance,Benefits,Drug Interactions,Side Effects,Category,Dosage,Molecule Structure,Potential IQ Boost,Potential Stack,Dose Timing,How to take
N-Acetyl Semax Amidate (NASA),"Enhances cognitive function, improves memory, neuroprotection, mood stabilization, reduces anxiety, potentially increases BDNF levels","May interact with other nootropics, particularly those affecting neurotransmitter systems such as dopamine, serotonin, and acetylcholine. Caution is advised when combining with MAO inhibitors or other neuroactive substances","Generally well-tolerated, but may cause mild headaches, irritability, or insomnia if taken too late in the day. Nasal administration might cause temporary nasal irritation or dryness","Cognitive Enhancer, Neuroprotective, Anxiolytic","250-1,000 mcg per dose",Heptapeptide (Modified Selank derivative),6-10%,"N-Acetyl Semax Amidate + 7,8-DHF for enhanced neuroprotection and cognitive enhancement",Morning,No
N-Acetyl-Selank,"Peptide with anxiolytic effects, enhances cognitive function, improves memory and learning, reduces symptoms of anxiety and depression, promotes neurogenesis, increases BDNF levels.",May interact with nitroglycerin and certain chemotherapy drugs,"Irritation at injection site, insomnia","GABA, Anxiolytic, Neuroprotective","250-1,000 mcg per dose",Heptapeptide (Modified Selank),5-8%,N-Acetyl-Selank + Semax for anxiolytic and cognitive support,Morning,No
Agmatine,"Neuroprotective effects, enhances cognitive function, potential antidepressant effects, improves mood, supports cardiovascular health, reduces oxidative stress, potential analgesic effects.","May interact with SSRIs and MAO inhibitors, which can lead to serotonin syndrome. It also interacts with nitric oxide-related medications and might potentiate the effects of blood pressure-lowering drugs. Caution is advised when combining with other neurotransmitter modulators or substances that influence the NMDA receptor.","Nausea, diarrhea","Neuroprotective, Nitric Oxide Enhancer","250-1,000 mg/day",Decarboxylated arginine,4-7%,Agmatine + L-Citrulline for nitric oxide enhancement,Evening,No
St John's Wort,"Antidepressant effects, reduces symptoms of anxiety, improves mood, potential neuroprotective effects, enhances cognitive function, anti-inflammatory properties, used for treating mild to moderate depression.","Strong interactions with SSRIs, SNRIs, MAO inhibitors, and tricyclic antidepressants (risk of serotonin syndrome). It also interacts with oral contraceptives (reducing effectiveness), anticoagulants (risk of bleeding), and certain chemotherapy drugs. St. John’s Wort is a potent inducer of the CYP450 enzymes, which can lead to reduced effectiveness of many medications, including those for heart disease, HIV, and transplant rejection.","Photosensitivity, drug interactions","Serotonin, Antidepressant",300-900 mg/day,"Hypericin, Hyperforin",4-7%,St John’s Wort + 5-HTP for mood support,Morning,Yes
Piracetam,"Enhances cognitive function, improves memory and learning, neuroprotective effects, increases synaptic plasticity, potential for treating cognitive impairments and neurodegenerative diseases.",May require choline to prevent headaches,"Headache, insomnia, GI distress","Acetylcholine, Cognitive Enhancer","1,200-4,800 mg/day",2-Oxo-1-pyrrolidine acetamide,5-8%,Piracetam + Choline for cognitive enhancement,Morning,No
Aniracetam,"Enhances memory, learning, mood stabilization",May require choline to prevent headaches,"GI distress, headaches","Acetylcholine, Cognitive Enhancer","750-1,500 mg/day",1-Anisoyl-2-pyrrolidinone,7-10%,Aniracetam + Choline for cognitive enhancement,Morning,Yes
Nefiracetam,"Enhances learning, memory, and reduces anxiety",Avoid combining with other stimulants,"Potential hepatotoxicity, headaches","Acetylcholine, Cognitive Enhancer, Neuroprotective",150-300 mg/day,2-(2-Oxo-1-pyrrolidinyl)-N-[2-(piperidin-1-yl)ethyl]acetamide,6-9%,Nefiracetam + MCT Oil for improved bioavailability,Morning,Yes
MCT Oil,"Provides rapid energy source, supports ketone production",None reported,"GI distress, bloating","Energy Source, Fat Metabolism",15-30 ml/day,Medium-chain triglycerides,N/A,MCT Oil + any fat-soluble nootropic for better absorption,Morning,Yes
Dihexa,"Enhances cognitive function, promotes synaptogenesis",May interact with cholinergic or dopaminergic agents,"Not well-documented, potential unknown risks","Neurogenesis, Neuroprotective, Cognitive Enhancer",10-30 mg/day,Hexamethylene bis[carbamimidothioate],8-12%,Dihexa + Methylphenylpiracetam for neuroenhancement,Morning,No
Methylphenylpiracetam,"Cognitive enhancer, improves physical performance",May interact with stimulant medications,"Jitters, anxiety, overstimulation","Dopamine, Cognitive Enhancer",50-100 mg/day,Phenylpyracetam,10-15%,Methylphenylpiracetam + Sulbutiamine for energy and focus,Morning,No
Sulbutiamine,"Increases energy, reduces fatigue, enhances memory",Avoid with other stimulants,"Mild agitation, irritability, insomnia","Dopamine, Cognitive Enhancer",300-600 mg/day,Bisibutiamine,5-8%,Sulbutiamine + Nootropics for cognitive support,Morning,Yes
Centrophenoxine,"Memory enhancement, anti-aging, cognitive support",Caution with other cholinergics,"GI distress, headaches","Acetylcholine, Neuroprotective, Anti-aging",250-500 mg/day,Dimethylaminoethyl p-chlorophenoxyacetate,5-8%,Centrophenoxine + Piracetam for enhanced memory,Morning,No
Pramiracetam,"Enhances memory, focus, and cognitive function",May require choline to prevent headaches,"GI distress, headaches","Acetylcholine, Cognitive Enhancer",300-600 mg/day,2-(2-Oxo-1-pyrrolidinyl)acetamide,7-12%,Pramiracetam + Centrophenoxine for enhanced focus,Morning,No
Oxiracetam,"Enhances learning, memory, and attention",May require choline to prevent headaches,"GI distress, headaches","Acetylcholine, Cognitive Enhancer","750-1,500 mg/day",4-hydroxy-2-oxo-1-pyrrolidineacetamide,5-9%,Oxiracetam + Pramiracetam for cognitive enhancemen,Morning,No
Fascoracetam,"Improves cognitive function, potential anxiolytic",Caution with other racetams,"Fatigue, headache","GABA, Cognitive Enhancer",10-30 mg/day,(5R)-5-(piperidine-1-carbonyl)pyrrolidin-2-one,5-8%,Fasoracetam + Noopept for balanced cognitive support,Morning,No
 RGPU-95,"Cognitive enhancer, neuroprotection, possible nootropic",Limited information on drug interactions,Not well-documented,"Neuroprotective, Cognitive Enhancer",Not well-established,"(R,S)-2-(2-oxo-4-(4-chlorophenyl)-pyrrolidin-1-yl)acetamide",8-10%,RGPU-95 + Fasoracetam for neuroprotection,Morning,No
Nefiracetam,"Enhances learning, memory, and reduces anxiety",Avoid combining with other stimulants,"Potential hepatotoxicity, headaches","Acetylcholine, Cognitive Enhancer, Neuroprotective",150-300 mg/day,2-(2-Oxo-1-pyrrolidinyl)-N-[2-(piperidin-1-yl)ethyl]acetamide,6-9%,Nefiracetam + MCT Oil for improved bioavailability,Morning,Yes
 Selank,"Anxiolytic, cognitive enhancer, mood stabilizer",Caution with other anxiolytics,"Sedation, fatigue, rare allergic reactions","GABA, Neuroprotective, Cognitive Enhancer",250-500 mcg per dose,Heptapeptide Thr-Lys-Pro-Arg-Pro-Gly-Pro,3-7%,Selank + Phenibut for mood stabilization and cognitive support,Morning,No
N-Methyl-Cyclazadone ,"Cognitive enhancement, mood improvement, energy boost",Caution with other stimulants or MAOIs,"Insomnia, anxiety, potential for overstimulation","Dopamine, Cognitive Enhancer",5-20 mg/day,Cyclazodone derivative,8-12%,N-Methyl-Cyclazodone + Theacrine for sustained energy and focus,Morning,No
FlModafinil,"Wakefulness, cognitive enhancement, focus","Caution with other stimulants, may potentiate effects","Headaches, nausea, potential for overstimulation","Dopamine, Wakefulness, Cognitive Enhancer",50-100 mg/day,Benzhydryl sulfinyl compound,7-10%,FlModafinil + Caffeine for maximum alertness and cognitive performance,Morning,No
Zynamite,"Increased energy, mental performance, antioxidant","Limited data on drug interactions, caution with other stimulants","GI distress, mild jitteriness, potential allergic reactions","Energy Booster, Antioxidant",200-500 mg/day,Mango leaf extract standardized to mangiferin,5-8%,Zynamite + Theacrine for enhanced energy and antioxidant protection,Morning,No
Theacrine,"Improves focus, reduces fatigue, enhances mood",Caution with caffeine or other stimulants,"Mild jitteriness, insomnia, irritability","Dopamine, Energy Booster",50-200 mg/day,Purine alkaloid similar to caffeine,4-7%,Theacrine + Caffeine for a balanced energy and focus boost,Morning,No
Caffeine,"Increases alertness, reduces fatigue, improves concentration",May interact with medications affecting the central nervous system,"Jitters, increased heart rate, anxiety","Adenosine Receptor Antagonist, Energy Booster",100-400 mg/day,Trimethylxanthine,3-6%,Caffeine + L-Theanine for focused energy without jitters,Morning,No
GS15-4,Ginseng extract with cognitive and physical performance benefits,May interact with blood thinners or medications for diabetes,"Mild GI distress, potential for allergic reactions","Adaptogen, Cognitive Enhancer",100-200 mg/day,Ginsenoside-rich extract,4-6%,GS15-4 + ALCAR for cognitive and physical performance,Morning,Yes
ALCAR,"Improves energy, enhances mental clarity, supports fat metabolism","Limited interactions, but caution with other stimulants","Mild GI distress, nausea, potential for overstimulation","Acetylcholine, Energy Metabolism","500-2,000 mg/day",Acetyl-L-carnitine,5-8%,ALCAR + Alpha-GPC for improved energy and mental clarity,Morning,No
Bacopa Monnieri,"Improves memory, reduces anxiety","Can interact with sedatives, thyroid medications","GI distress, fatigue","Serotonin, Neuroprotective, Cognitive Enhancer",300-450 mg/day,"Bacopaside A, B",3-7%,Bacopa + Ashwagandha for stress reduction,Evening,Yes
Lion’s Mane Mushroom,"Supports brain health, enhances memory and cognition",May interact with blood thinners,"GI discomfort, allergic reactions","Neurogenesis, Neuroprotective","500-3,000 mg/day","Erinacines, Hericenones",4-6%,Lion’s Mane + Bacopa Monnieri for neuroprotection,Morning and evening,No
Alpha-GPC,"Enhances memory, cognitive performance",May increase cholinergic effects with other supplements,"GI distress, headaches","Acetylcholine, Cognitive Enhance",300-600 mg/day,Alpha-glycerophosphocholine,6-10%,Alpha-GPC + Noopept for memory support,Morning,Yes
Coluracetam,"Enhances memory, learning, potential neuroprotection",May interact with cholinergic drugs,"Mild headaches, nausea",Racetam,10-20 mg/day,"Racetam derivative, Choline uptake enhancer",5-8%,Coluracetam + Alpha-GPC for memory enhancement,Morning,No
NSI-189 Phosphate,"Promotes neurogenesis, potential antidepressant effects","May interact with other antidepressants, particularly SSRIs","Headaches, irritability, dizziness",Neurogenic agent,40-80 mg/day,Aminopyridine derivative,6-9%,"NSI-189 + 7,8-DHF for neurogenesis",Morning,No
Sunifiram,"Potent cognitive enhancer, enhances memory and learning","Limited data, potential interaction with racetams","Mild headaches, possible overstimulation",Ampakine-like nootropic,5-10 mg/day,"Ampakine derivative, Modulates AMPA receptors",7-10%,Sunifiram + Coluracetam for cognitive enhancement,Morning,No
NMN (Nicotinamide Mononucleotide),"Enhances energy metabolism, promotes healthy aging, supports DNA repair","May interact with other NAD+ precursors like NR, potential interaction with chemotherapeutics","Generally well-tolerated, mild gastrointestinal discomfort","NAD+ precursor, Anti-aging",250-500 mg/day,"NAD+ precursor, Nicotinamide derivative",3-5%,NMN + Resveratrol for anti-aging and metabolism,Morning,No
Vinpocetine,"Enhances cerebral blood flow, improves memory, neuroprotective effects","Interacts with blood thinners, antihypertensive drugs, and anti-platelet agents","Mild headaches, dizziness, gastrointestinal discomfort","Nootropic, Vasodilator",5-20 mg/day,Vincamine alkaloid derivative,4-7%,Vinpocetine + CDP Choline for memory enhancement,Morning,Yes
CDP Choline,"Supports memory and cognitive function, enhances acetylcholine production","May interact with L-DOPA, enhances effects of racetams and other cholinergic nootropics","Generally well-tolerated, mild gastrointestinal discomfort","Nootropic, Choline source",250-500 mg/day,Cytidine diphosphate-choline,5-8%,CDP Choline + Racetams for cognitive enhancement,Morning,No
GTS-21 HCL,"Improves memory and attention, neuroprotective effects","Limited data, potential interaction with nicotine or other cholinergic agents","Mild headaches, possible overstimulation","Nootropic, Nicotinic acetylcholine receptor agonist",5-8%,"3-(2,4-dimethoxybenzylidene)-anabaseine dihydrochloride",5-8%,GTS-21 + CDP Choline for cognitive enhancement,Morning,No
PRL-8-53,"Enhances short-term memory, improves cognitive function","Limited data, potential interaction with other cholinergic nootropics","Mild headaches, possible overstimulation",Nootropic,5-20 mg/day,Aminoethyl meta benzoic acid methyl ester,7-10%,PRL-8-53 + Coluracetam for memory enhancement,Morning,No
K&B,"Kidney and bladder support, detoxification",May interact with diuretics and other kidney or bladder medications,"Generally well-tolerated, mild diuretic effect",Herbal supplement,Follow product instructions,Herbal blend,0-1%,K&B + NAC for detoxification support,Morning,Yes
Black Ginger Extract,"Improves endurance, physical stamina, cognitive function, anti-inflammatory, antioxidant, enhances blood circulation, supports metabolic health, enhances libido.","Anticoagulants (increased bleeding risk), antidiabetics (risk of hypoglycemia), antihypertensives (enhanced effects), stimulants (risk of overstimulation)","Mild: nausea, heartburn, mild gastrointestinal discomfort. Rare: increased heart rate, headaches, dizziness, allergic reactions.","Adaptogen, Cognitive Enhancer, Physical Performance Enhancer, Metabolic Support.",100–200 mg/day Performance: up to 300 mg/day in divided doses,"polymethoxyflavones (PMFs), primarily 5,7-dimethoxyflavone and tetramethoxyflavone.",1-3%,"- Cognitive Boost: Black Ginger Extract + Lion’s Mane Mushroom + Alpha-GPC
- Physical Performance: Black Ginger Extract + Creatine + Rhodiola Rosea
- Libido/Metabolic Health: Black Ginger Extract + Tongkat Ali + Ashwagandha",Morning or 30–60 minutes before exercise for physical benefits.,Yes
